ID	Unicode	字符	86版	86容错	98版	98容错	笔顺编号	笔顺容错
1	3400	㐀	gjgg	.	hghg	.	21211	.
2	3401	㐁	glwi	.	glwi	.	125341	.
3	3402	㐂	aaab	.	aaab	.	151515	.
4	3403	㐃	lhk	.	lhk	.	542	.
5	3404	㐄	ahk	.	ggnh	.	152	.
6	3405	㐅	qty	.	rty	.	34	.
7	3406	㐆	rvnv	.	rvnv	.	335115	.
8	3407	㐇	vnb	.	vnb	.	355	.
9	3408	㐈	tynb	.	tynb	.	345	.
10	3409	㐉	snb	.	snb	.	125	.
11	340A	㐊	fnb	.	fnb	.	1215	.
12	340B	㐋	fnb	.	fnb	.	1215	.
13	340C	㐌	tbb	.	tbb	.	31525	.
14	340D	㐍	enb	.	enb	.	34435	.
15	340E	㐎	ynb	.	ynb	.	41345	.
16	340F	㐏	gnb	.	gnb	.	12515	.
17	3410	㐐	vcnb	.	vcnb	.	531545	.
18	3411	㐑	tunb	.	tunb	.	354445	.
19	3412	㐒	vknb	.	vknb	.	532515	.
20	3413	㐓	sknb	.	sknb	.	125125	.
21	3414	㐔	ynb	.	ynb	.	412515	.
22	3415	㐕	mnb	.	mnb	.	251215	.
23	3416	㐖	fknn	.	fknn	.	1212515	.
24	3417	㐗	ftxn	.	ftxn	.	1213355	.
25	3418	㐘	onb	.	onb	.	4312345	.
26	3419	㐙	gkun	.	gkun	.	12514315	.
27	341A	㐚	gknb	.	gknb	.	12512515	.
28	341B	㐛	wdkn	.	wdkn	.	32132515	.
29	341C	㐜	fiyv	.	giyv	.	124134435	.
30	341D	㐝	rqkn	.	rqkn	.	121352515	.
31	341E	㐞	adwn	.	dwnb	.	122111345	.
32	341F	㐟	djdn	hdhn	hdhn	.	211121115	.
33	3420	㐠	ebnn	.	ebnn	.	344352155	.
34	3421	㐡	vdmd	.	vdmd	.	35132522134	.
35	3422	㐢	iebn	.	iebn	.	44134435215	.
36	3423	㐣	ylnv	.	olnv	.	41312511125	.
37	3424	㐤	vfhw	.	vfhw	.	351225111134	.
38	3425	㐥	qegn	.	qegn	.	3411243125111535	.
39	3426	㐦	vgnn	wfgn	egnn	.	321115251113431125	.
40	3427	㐧	ynht	.	ynht	.	4523	.
41	3428	㐨	cbcb	.	cnhh	.	54525452	.
42	3429	㐩	fjfj	.	fjfj	.	22322232	.
43	342A	㐪	ybwu	gbwi	ybwu	.	415234	.
44	342B	㐫	ybk	.	yrbj	.	413452	.
45	342C	㐬	ycqb	.	yckb	.	4154325	.
46	342D	㐭	ylkf	.	ylkf	.	41252511	.
47	342E	㐮	ufje	.	uaeu	.	4134112213534	.
48	342F	㐯	yktj	.	yktj	.	41251251312342511	.
49	3430	㐰	wkg	.	wkg	.	32251	.
50	3431	㐱	wer	.	wer	.	34333	.
51	3432	㐲	wdy	.	wdy	.	32134	.
52	3433	㐳	wgqn	.	wgqn	.	32135	.
53	3434	㐴	wqy	.	wqy	.	32354	.
54	3435	㐵	wgfh	.	wgfh	.	32112	.
55	3436	㐶	wnn	.	wnn	.	32515	.
56	3437	㐷	wcg	.	wcgg	.	32551	.
57	3438	㐸	wqwy	.	wqwy	.	323534	.
58	3439	㐹	wrnn	.	wrn	.	323115	.
59	343A	㐺	wwwy	.	wwwy	.	323234	.
60	343B	㐻	wmwy	.	wmwy	.	322534	.
61	343C	㐼	wtah	.	wtah	.	323132	.
62	343D	㐽	wmqy	.	wwry	.	323534	.
63	343E	㐾	wfqn	.	wfqn	.	321135	.
64	343F	㐿	wrh	.	wrh	.	323112	.
65	3440	㑀	wdyy	.	wdyy	.	321344	.
66	3441	㑁	wbmh	.	wbmh	.	3252252	.
67	3442	㑂	wgmw	.	wgmw	.	3212534	.
68	3443	㑃	wxln	wxlt	wxet	.	3255453	.
69	3444	㑄	wxgu	wxyy	wxy	.	3255414	.
70	3445	㑅	wthg	.	wthg	.	3231211	.
71	3446	㑆	wkqn	.	wkqn	.	3225135	.
72	3447	㑇	wqvg	.	wqvg	.	3235511	.
73	3448	㑈	waiy	.	waiy	.	3215234	.
74	3449	㑉	wmgq	.	wwgq	.	32351354	.
75	344A	㑊	wyoy	.	wyoy	.	32413234	.
76	344B	㑋	wmag	.	wmag	.	32251221	.
77	344C	㑌	wagg	.	wagg	.	32111215	.
