ID	Unicode	字符.	五笔86	86容错	五笔98	98容错	笔顺编号	笔顺容错
1	20000	𠀀.	ghab	.	.	.	1215	.
2	20001	𠀁.	gnv	.	.	.	15	.
3	20002	𠀂.	gnb	.	.	.	15	.
4	20003	𠀃.	mgd	.	.	.	251	.
5	20004	𠀄.	bgd	.	.	.	521	.
6	20005	𠀅.	gntv	.	.	.	153	.
7	20006	𠀆.	tfk	rhk	.	.	312	.
8	20007	𠀇.	mfd	.	.	.	2511	.
9	20008	𠀈.	wngd	.	.	.	3251	.
10	20009	𠀉.	wfd	thd	.	.	3211	.
11	2000A	𠀊.	dhu	.	.	.	1324	.
12	2000B	𠀋.	dyyi	.	.	.	1344	.
13	2000C	𠀌.	nhgg	.	.	.	5121	.
14	2000D	𠀍.	anv	.	.	.	12221	1225
15	2000E	𠀎.	fjgd	.	.	.	11221	.
16	2000F	𠀏.	gbng	.	.	.	15251	.
17	20010	𠀐.	khgd	.	.	.	25121	.
18	20011	𠀑.	gmqv	.	.	.	12535	.
19	20012	𠀒.	gwgn	.	.	.	13415	.
20	20013	𠀓.	xhgf	.	.	.	51521	.
21	20014	𠀔.	gntw	.	.	.	15334	.
22	20015	𠀕.	gxgy	.	.	.	15541	.
23	20016	𠀖.	ayu	.	.	.	12214	.
24	20017	𠀗.	atu	.	.	.	12213	.
25	20018	𠀘.	gqgq	.	.	.	135135	.
26	20019	𠀙.	gmgm	.	.	.	125125	.
27	2001A	𠀚.	gciu	.	.	.	154234	.
28	2001B	𠀛.	fmwi	.	.	.	112534	.
29	2001C	𠀜.	gogd	.	.	.	122341	.
30	2001D	𠀝.	ghhf	.	.	.	124211	.
31	2001E	𠀞.	ghnn	.	.	.	125125	.
32	2001F	𠀟.	gnni	.	.	.	155234	.
33	20020	𠀠.	aqi	.	.	.	122341	.
34	20021	𠀡.	gtfq	.	.	.	1312135	.
35	20022	𠀢.	ghxb	.	.	.	1212115	1212135
36	20023	𠀣.	gmhg	.	.	.	1352151	.
37	20024	𠀤.	ddgf	.	.	.	1341341	.
38	20025	𠀥.	ghjg	.	.	.	1225111	.
39	20026	𠀦.	gyth	.	.	.	1434242	.
40	20027	𠀧.	cdd	cdg	.	.	5215111	.
41	20028	𠀨.	ghey	.	.	.	124354	.
42	20029	𠀩.	gqgs	.	.	.	1351512	.
43	2002A	𠀪.	adyu	.	.	.	1221114	.
44	2002B	𠀫.	adtr	.	.	.	1221113	.
45	2002C	𠀬.	glww	.	.	.	12534341	.
46	2002D	𠀭.	tonb	.	.	.	34312345	.
47	2002E	𠀮.	gwlq	.	.	.	13425341	.
48	2002F	𠀯.	gliu	.	.	.	12525341	.
49	20030	𠀰.	giit	.	.	.	13242343	.
50	20031	𠀱.	giwq	.	.	.	13243434	.
51	20032	𠀲.	sqqy	.	.	.	12354354	.
52	20033	𠀳.	nywh	.	.	.	5434124	.
53	20034	𠀴.	bmgh	.	.	.	52252124	.
54	20035	𠀵.	smgr	.	.	.	122513533	.
55	20036	𠀶.	girw	.	.	.	132431134	.
56	20037	𠀷.	gkma	.	.	.	125125122	.
57	20038	𠀸.	gmqn	.	.	.	125354315	.
58	20039	𠀹.	gwmk	.	.	.	134251251	.
59	2003A	𠀺.	gmiw	.	.	.	135243134	.
60	2003B	𠀻.	fqjn	.	.	.	113525115	.
61	2003C	𠀼.	dhqu	.	.	.	131511134	.
62	2003D	𠀽.	gmhc	.	.	.	1252313544	.
63	2003E	𠀾.	giwc	.	.	.	1324341154	.
64	2003F	𠀿.	ghkw	.	.	.	1242513534	.
65	20040	𠁀.	anwa	.	.	.	1221532154	.
66	20041	𠁁.	nngg	ajng	.	.	5515515121	5515551121
67	20042	𠁂.	ftjs	.	.	.	1213251112	.
68	20043	𠁃.	gigi	.	.	.	13241251234	.
69	20044	𠁄.	wgmh	.	.	.	34125122124	.
70	20045	𠁅.	gnty	gtny	.	.	15312135334	.
71	20046	𠁆.	gifh	.	.	.	132412251111	.
72	20047	𠁇.	gipg	.	.	.	132444525111	.
73	20048	𠁈.	ghmk	.	.	.	123534312251	.
74	20049	𠁉.	gmrg	.	.	.	135325111121	.
75	2004A	𠁊.	gwwd	.	.	.	134343434134	.
76	2004B	𠁋.	gigi	.	.	.	132412511234	.
77	2004C	𠁌.	gibb	.	.	.	132412211152	.
78	2004D	𠁍.	giud	.	.	.	1324431121134	.
79	2004E	𠁎.	lpgh	.	.	.	1251112454124	12511124554124
80	2004F	𠁏.	gkpg	.	.	.	12514512155121	.
81	20050	𠁐.	gkmg	.	.	.	12512512155121	.
82	20051	𠁑.	aqph	.	.	.	12213545252124	.
83	20052	𠁒.	gifw	.	.	.	13241225111134	.
84	20053	𠁓.	giww	.	.	.	132434342513534	.
85	20054	𠁔.	uomn	.	.	.	431224312512115	.
86	20055	𠁕.	gkhg	.	.	.	125124512155121	.
87	20056	𠁖.	gmyh	.	.	.	12541254132512512	.
88	20057	𠁗.	fdjd	.	.	.	1132511132511134	.
89	20058	𠁘.	gmlo	.	.	.	135254312114444	.
90	20059	𠁙.	giyf	.	.	.	1324411125131211	.
91	2005A	𠁚.	ghwj	.	.	.	1243412524312511	.
