ID	UNICODE	类别	字符	五笔86版	容错86	五笔98版	容错98
1	E815	自造字区	.	rtt	.		
2	E816	自造字区	.	dgt	.		
3	E817	自造字区	.	ttg	.		
4	E818	自造字区	.	nnll	.		
5	E819	自造字区	.	nnll	.		
6	E81A	自造字区	.	wqbt	.		
7	E81B	自造字区	.	wqvg	.		
8	E81C	自造字区	.	qtn	.		
9	E81D	自造字区	.	bnn	.		
10	E81E	自造字区	.	cny	.		
11	E81F	自造字区	.	kkmw	.		
12	E820	自造字区	.	kubt	.		
13	E821	自造字区	.	kubt	.		
14	E822	自造字区	.	ihyt	.		
15	E823	自造字区	.	nhty	.		
16	E824	自造字区	.	nqbt	.		
17	E825	自造字区	.	nqvg	.		
18	E826	自造字区	.	rtgt	.		
19	E827	自造字区	.	rmqy	.		
20	E828	自造字区	.	ring	.		
21	E829	自造字区	.	rwyc	.		
22	E82A	自造字区	.	rccy	.		
23	E82B	自造字区	.	gggg	.		
24	E82C	自造字区	.	aghg	.		
25	E82D	自造字区	.	smqy	.		
26	E82E	自造字区	.	gqkm	.		
27	E82F	自造字区	.	idpy	.		
28	E830	自造字区	.	tfd	.		
29	E831	自造字区	.	dwi	.		
30	E832	自造字区	.	ipb	.		
31	E833	自造字区	.	nhf	.		
32	E834	自造字区	.	hovg	.		
33	E835	自造字区	.	tcde	.		
34	E836	自造字区	.	ttgy	.		
35	E837	自造字区	.	xmg	.		
36	E838	自造字区	.	pqb	.		
37	E839	自造字区	.	udr	.		
38	E83A	自造字区	.	udf	.		
39	E83B	自造字区	.	fai	.		
40	E83C	自造字区	.	filx	.		
41	E83D	自造字区	.	dilc	.		
42	E83E	自造字区	.	vhgf	.		
43	E83F	自造字区	.	efny	.		
44	E840	自造字区	.	apwl	.		
45	E841	自造字区	.	pukm	.		
46	E842	自造字区	.	pukm	.		
47	E843	自造字区	.	udi	.		
48	E844	自造字区	.	yrh	.		
49	E845	自造字区	.	yako	.		
50	E846	自造字区	.	mgeg	.		
51	E847	自造字区	.	mgeg	.		
52	E848	自造字区	.	khf	.		
53	E849	自造字区	.	qynn	.		
54	E84A	自造字区	.	qaht	.		
55	E84B	自造字区	.	qnty	.		
56	E84C	自造字区	.	qynn	.		
57	E84D	自造字区	.	qafj	.		
58	E84E	自造字区	.	qudk	.		
59	E84F	自造字区	.	qhhc	.		
