ID	内码	字符	五笔86	序级86	一简86	二简86	三简86	容错86	五笔98	序级98	一简98	二简98	三简98	容错98	笔顺编号	笔顺容错	百万分比
1	8140	丂	gnv	3	.	.	.	.	gnv	3	.	.	.	.	15	.	0 
2	8141	丄	hgd	3	.	.	.	.	hgd	3	.	.	.	.	21	.	0 
3	8142	丅	ghk	3	.	.	.	.	ghk	3	.	.	.	.	12	.	0 
4	8143	丆	dgt	3	.	.	.	.	dgt	3	.	.	.	.	13	.	0 
5	8144	丏	ghnn	3	.	.	.	.	ghnn	3	.	.	.	.	1255	.	0 
6	8145	丒	vygf	3	.	.	.	.	vygf	3	.	.	.	.	5341	.	0 
7	8146	丗	gkgd	3	.	.	.	gmk	gkgd	3	.	.	.	.	12221	.	0 
8	8147	丟	gcu	3	.	.	.	.	gcu	3	.	.	.	.	112154	.	0 
9	8148	丠	uxgf	3	.	.	.	.	uxgf	3	.	.	.	.	211351	.	0 
10	8149	両	gmmk	3	.	.	.	.	gmmk	3	.	.	.	.	125252	.	0 
11	814A	丣	gajn	3	.	.	.	gjan	gjan	3	.	.	.	gajn	1315251	.	0 
12	814B	並	uogf	3	.	.	.	.	uof	3	.	.	.	.	43122431	.	0 
13	814C	丩	nhk	3	.	.	.	.	nhk	3	.	.	.	.	52	.	0 
14	814D	丮	nfhk	3	.	.	.	.	ngk	3	.	.	.	.	5112	.	0 
15	814E	丯	ehk	3	.	.	.	.	ehk	3	.	.	.	.	3332	.	0 
16	814F	丱	njhg	3	.	.	.	.	jnhg	3	.	.	.	.	53212	.	0 
17	8150	丳	kkjk	3	.	.	.	.	kkjk	3	.	.	.	.	25125132	.	0 
18	8151	丵	oguf	3	.	.	.	.	oufj	3	.	.	.	.	2243143112	.	0 
19	8152	丷	uyt	3	.	.	.	.	uyt	3	.	.	.	.	43	.	0 
20	8153	丼	fjyi	3	.	.	.	.	fjyi	3	.	.	.	.	11324	.	0 
21	8154	乀	yyll	3	.	.	.	.	yyll	3	.	.	.	.	5	.	0 
22	8155	乁	yyll	3	.	.	.	gyi	gyi	3	.	.	.	yyll	5	.	0 
23	8156	乂	qty	3	.	.	.	.	rty	3	.	.	.	.	34	.	0 
24	8157	乄	nyi	3	.	.	.	.	nyi	3	.	.	.	.	54	.	0 
25	8158	乆	nwi	3	.	.	.	.	nwi	3	.	.	.	.	534	.	0 
26	8159	乊	tur	3	.	.	.	.	tue	3	.	.	.	.	343	.	0 
27	815A	乑	tii	3	.	.	.	.	ithy	3	.	.	.	.	323334	.	0 
28	815B	乕	rfmh	3	.	.	.	.	rfmh	3	.	.	.	.	3311252	.	0 
29	815C	乗	tgas	3	.	.	.	tgai	tgas	3	.	.	.	.	311221234	.	0 
30	815D	乚	nnll	3	.	.	.	.	nnll	3	.	.	.	.	5	.	0 
31	815E	乛	nnll	3	.	.	.	.	nnll	3	.	.	.	.	5	.	0 
32	815F	乢	mnn	3	.	.	.	.	mnn	3	.	.	.	.	2525	.	0 
33	8160	乣	xnn	3	.	.	.	.	xnn	3	.	.	.	.	5545	.	0 
34	8161	乤	ghnb	3	.	.	.	.	ghnb	3	.	.	.	.	1245	.	0 
35	8162	乥	tunb	3	.	.	.	.	tunb	3	.	.	.	.	3435	.	0 
36	8163	乧	ufnb	3	.	.	.	.	ufnb	3	.	.	.	.	44125	.	0 
37	8164	乨	cknn	3	.	.	.	.	cknn	3	.	.	.	.	542515	.	0 
38	8165	乪	nld	3	.	.	.	.	nld	3	.	.	.	.	525121	.	0 
39	8166	乫	lknb	3	.	.	.	.	eknb	3	.	.	.	.	532515	.	0 
40	8167	乬	annb	3	.	.	.	.	annb	3	.	.	.	.	15155	.	0 
41	8168	乭	dnb	3	.	.	.	.	dnb	3	.	.	.	.	132515	.	0 
42	8169	乮	qtbn	3	.	.	.	.	qtbn	3	.	.	.	.	353525	.	0 
43	816A	乯	tuhn	3	.	.	.	.	tufn	3	.	.	.	.	343125	.	0 
44	816B	乲	uqwn	3	.	.	.	.	uqwn	3	.	.	.	.	4135345	.	0 
45	816C	乴	rrnb	3	.	.	.	.	rrnb	3	.	.	.	.	12133125	.	0 
46	816D	乵	unn	3	.	.	.	.	unn	3	.	.	.	.	41431125	.	0 
47	816E	乶	gehn	3	.	.	.	.	snb	3	.	.	.	.	12511245	.	0 
48	816F	乷	iitn	3	.	.	.	.	iitn	3	.	.	.	.	44123435	.	0 
49	8170	乸	bxgu	3	.	.	.	bxyy	bxi	3	.	.	.	.	52555414	.	0 
50	8171	乹	fjnn	3	.	.	.	.	fjnn	3	.	.	.	.	122511125	.	0 
51	8172	乺	rnrn	3	.	.	.	.	rnrn	3	.	.	.	.	335133125	.	0 
52	8173	乻	ywun	3	.	.	.	.	ywun	3	.	.	.	.	415334445	.	0 
53	8174	乼	iygn	3	.	.	.	.	iygn	3	.	.	.	.	441411215	.	0 
54	8175	乽	ftjn	3	.	.	.	.	ftjn	3	.	.	.	.	121325115	.	0 
55	8176	乿	exin	3	.	.	.	.	exin	3	.	.	.	.	34435542345	.	0 
56	8177	亀	qjjn	3	.	.	.	.	qjjn	3	.	.	.	.	35251125115	.	0 
57	8178	亁	fjfn	3	.	.	.	.	fjfn	3	.	.	.	.	122511112315	.	0 
58	8179	亂	ecmn	3	.	.	.	.	ecmn	3	.	.	.	.	3443542554545	.	0 
59	817A	亃	oqan	3	.	.	.	.	oqgn	3	.	.	.	.	4312343541525	.	0 
60	817B	亄	fpgn	3	.	.	.	.	fpgn	3	.	.	.	.	1214512514315	.	0 
61	817C	亅	hhll	3	.	.	.	.	hhll	3	.	.	.	.	2	.	0 
62	817D	亇	qhj	3	.	.	.	.	qhj	3	.	.	.	.	352	.	0 
63	817E	亊	guvh	3	.	.	.	.	guvh	3	.	.	.	.	1435112	.	0 
.	817F	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0 
64	8180	亐	fnv	3	.	.	.	.	fnv	3	.	.	.	.	115	.	0 
65	8181	亖	fff	3	.	.	.	.	fff	3	.	.	.	.	1111	.	0 
66	8182	亗	mff	3	.	.	.	.	mff	3	.	.	.	.	25211	.	0 
67	8183	亙	ghng	3	.	.	.	gqug	ghng	3	.	.	.	.	125441	.	0 
68	8184	亜	gkjg	3	.	.	.	.	gkjg	3	.	.	.	.	1251221	.	0 
69	8185	亝	cccf	3	.	.	.	.	cccf	3	.	.	.	.	54545411	.	0 
70	8186	亞	ghgg	3	.	.	.	gfgd	gfgd	3	.	.	.	ghgg	12155121	.	0 
71	8187	亣	yjj	3	.	.	.	.	yjj	3	.	.	.	.	4132	.	0 
72	8188	亪	yoyu	3	.	.	.	.	yogy	3	.	.	.	.	4132345	.	0 
73	8189	亯	yjf	3	.	.	.	.	yjf	3	.	.	.	.	412512511	.	0 
74	818A	亰	yjiu	3	.	.	.	.	yjiu	3	.	.	.	.	412511234	.	0 
75	818B	亱	ywjg	3	.	.	.	.	ywjg	3	.	.	.	.	413225111	.	0 
76	818C	亴	ypfv	3	.	.	.	.	ypfv	3	.	.	.	.	412514512135	.	0 
77	818D	亶	ylkg	3	.	.	.	.	ylkg	3	.	.	.	.	4125251125111	.	1 
78	818E	亷	utvo	3	.	.	.	.	utvw	3	.	.	.	.	4143135112234	.	0 
79	818F	亸	ybuf	3	.	.	.	.	ybuf	3	.	.	.	.	4125152143251112	.	0 
80	8190	亹	ywfg	3	.	.	.	yvmg	yemg	3	.	.	.	.	4132112512515114525111	.	0 
81	8191	亼	wgf	3	.	.	.	.	wgf	3	.	.	.	.	341	.	0 
82	8192	亽	wyu	3	.	.	.	.	wyu	3	.	.	.	.	344	.	0 
83	8193	亾	wnv	3	.	.	.	.	wnv	3	.	.	.	.	345	.	0 
84	8194	仈	wwy	3	.	.	.	.	wwy	3	.	.	.	.	3234	.	0 
85	8195	仌	wwu	3	.	.	.	.	wwu	3	.	.	.	.	3434	.	0 
86	8196	仏	wcy	3	.	.	.	.	wcy	3	.	.	.	.	3254	.	0 
87	8197	仐	wfj	3	.	.	.	.	wfj	3	.	.	.	.	3412	.	0 
88	8198	仒	wuu	3	.	.	.	.	wuu	3	.	.	.	.	3444	.	0 
89	8199	仚	wmj	3	.	.	.	.	wmj	3	.	.	.	.	34252	.	0 
