字符	一简86	一86全码	字符	二简86	二86全码	字符	一简98	一98全码	字符	二简98	二98全码
工	a	aaaa	式	aa	aad	工	a	aaaa	式	aa	aayi
其	a	adwu	戒	aa	aak	东	a	aii	藏	aa	aauh
东	a	aii	芽	aa	aaht	世	a	anv	戒	aa	aak
了	b	bnh	节	ab	abj	了	b	bnh	节	ab	abj
子	b	bbbb	萨	ab	abut	子	b	bbbb	萨	ab	abut
也	b	bnhn	荪	ab	abiu	也	b	bnhn	荪	ab	abiu
以	c	nywy	芭	ac	acb	以	c	nywy	芭	ac	acb
又	c	cccc	茅	ac	acbt	又	c	cccc	茅	ac	acnt
对	c	cfy	苔	ac	ackf	对	c	cfy	苔	ac	ackf
在	d	dhfd	基	ad	adwf	在	d	dhfd	苦	ad	adf
大	d	dddd	若	ad	adkf	大	d	dddd	若	ad	adkf
而	d	dmjj	斯	ad	adwr	而	d	dmjj	项	ad	admy
有	e	def	菜	ae	aesu	有	e	def	功	ae	aet
月	e	eeee	散	ae	aety	月	e	eeee	散	ae	aety
用	e	etnh	藤	ae	aeui	用	e	etnh	苏	ae	aewu
地	f	fbn	革	af	afj	地	f	fbn	革	af	afj
土	f	ffff	某	af	afsu	土	f	ffff	著	af	aftj
去	f	fcu	著	af	aftj	去	f	fcu	勒	af	afet
一	g	ggll	七	ag	agn	一	g	ggll	七	ag	agn
王	g	gggg	巧	ag	agnn	王	g	gggg	巧	ag	agnn
来	g	goi	莱	ag	agou	来	g	gusi	莱	ag	agus
上	h	hhgg	牙	ah	ahte	上	h	hhgg	牙	ah	ahte
目	h	hhhh	雅	ah	ahty	目	h	hhhh	雅	ah	ahty
点	h	hkou	臣	ah	ahnh	点	h	hkou	臣	ah	ahnh
不	i	gii	东	ai	aii	不	i	dhi	东	ai	aii
水	i	iiii	落	ai	aitk	水	i	iiii	落	ai	aitk
小	i	ihty	范	ai	aibb	小	i	ihty	范	ai	aibb
是	j	jghu	划	aj	ajh	是	j	jghu	划	aj	ajh
日	j	jjjj	莫	aj	ajdu	日	j	jjjj	莫	aj	ajdu
时	j	jfy	草	aj	ajj	时	j	jfy	草	aj	ajj
中	k	khk	或	ak	akgd	中	k	khk	或	ak	akgd
口	k	kkkk	惑	ak	akgn	口	k	kkkk	燕	ak	akuo
只	k	kwu	勤	ak	akgl	只	k	kwu	惑	ak	akgn
国	l	lgyi	功	al	aln	国	l	lgyi	苗	al	alf
田	l	llll	苏	al	alwu	田	l	llll	莲	al	alpu
回	l	lkd	莲	al	alpu	回	l	lkd	茵	al	aldu
同	m	mgkd	贡	am	amu	同	m	mgkd	贡	am	amu
山	m	mmmm	英	am	amdu	山	m	mmmm	英	am	amdu
见	m	mqb	黄	am	amwu	见	m	mqb	黄	am	amwu
民	n	nav	世	an	anv	民	n	nav	艺	an	anb
已	n	nnnn	艺	an	anb	已	n	nnnn	巨	an	and
心	n	nyny	巨	an	and	心	n	nyny	蔬	an	anhk
为	o	ylyi	蒌	ao	aovf	为	o	yeyi	蘑	ao	aosd
火	o	oooo	薮	ao	aovt	火	o	oooo	蔗	ao	aoao
数	o	ovty	芝	ap	apu	数	o	ovty	薮	ao	aovt
这	p	ypi	营	ap	apkk	这	p	ypi	芝	ap	apu
之	p	pppp	劳	ap	aplb	之	p	pppp	营	ap	apkk
家	p	peu	区	aq	aqi	家	p	pgeu	劳	ap	aper
我	q	trnt	获	aq	aqtd	我	q	trny	匹	aq	aqv
金	q	qqqq	警	aq	aqky	金	q	qqqq	获	aq	aqtd
多	q	qqu	匠	ar	ark	多	q	qqu	警	aq	aqky
的	r	rqyy	茱	ar	ariu	的	r	rqyy	区	ar	ari
白	r	rrrr	芹	ar	arj	白	r	rrrr	欧	ar	arqw
看	r	rhf	苛	as	askf	看	r	rhf	艾	ar	aru
要	s	svf	茜	as	asf	要	s	svf	莆	as	asu
木	s	ssss	蘸	as	asgo	木	s	ssss	茜	as	asf
可	s	skd	攻	at	aty	可	s	skd	苛	as	askf
和	t	tkg	医	at	atdi	和	t	tkg	攻	at	aty
禾	t	tttt	莉	at	atjj	禾	t	tttt	医	at	atdi
得	t	tjgf	燕	au	auko	得	t	tjgf	莉	at	atjj
产	u	ute	蒂	au	auph	产	u	ute	蒋	au	auqf
立	u	uuuu	蒋	au	auqf	立	u	uuuu	菩	au	aukf
道	u	uthp	切	av	avn	道	u	uthp	茨	au	auqw
