ID	UNICODE	类别	名称	字形.	五笔86版	容错86-1	容错86-2	五笔98版	容错98-1	容错98-2
1	1D300	太玄经符号	养	𝍖.	udyj	dddd	dyxc			
2	1D301	太玄经符号	勤	𝍕.	akgl	dddf	dyxc			
3	1D302	太玄经符号	难	𝍔.	cwyg	dddg	dyxc			
4	1D303	太玄经符号	将	𝍓.	uqfy	ddfd	dyxc			
5	1D304	太玄经符号	驯	𝍒.	ckh	ddff	dyxc			
6	1D305	太玄经符号	剧	𝍑.	ndjh	ddfg	dyxc			
7	1D306	太玄经符号	失	𝍐.	rwi	ddgd	dyxc			
8	1D307	太玄经符号	门	𝍏.	uyhn	ddgf	dyxc			
9	1D308	太玄经符号	成	𝍎.	dnnt	ddgg	dyxc			
10	1D309	太玄经符号	昆	𝍍.	jxxb	dfdd	dyxc			
11	1D30A	太玄经符号	永	𝍌.	ynii	dfdf	dyxc			
12	1D30B	太玄经符号	度	𝍋.	yaci	dfdg	dyxc			
13	1D30C	太玄经符号	常	𝍊.	ipkh	dffd	dyxc			
14	1D30D	太玄经符号	唐	𝍉.	yvhk	dfff	dyxc			
15	1D30E	太玄经符号	逃	𝍈.	iqpv	dffg	dyxc			
16	1D30F	太玄经符号	礼	𝍇.	pynn	dfgd	dyxc			
17	1D310	太玄经符号	文	𝍆.	yygy	dfgf	dyxc			
18	1D311	太玄经符号	廓	𝍅.	yybb	dfgg	dyxc			
19	1D312	太玄经符号	事	𝍄.	gkvh	dgdd	dyxc			
20	1D313	太玄经符号	务	𝍃.	tlr	dgdf	dyxc			
21	1D314	太玄经符号	争	𝍂.	qvhj	dgdg	dyxc			
22	1D315	太玄经符号	乐	𝍁.	qii	dgfd	dyxc			
23	1D316	太玄经符号	夷	𝍀.	gxwi	dgff	dyxc			
24	1D317	太玄经符号	格	𝌿.	stkg	dgfg	dyxc			
25	1D318	太玄经符号	释	𝌾.	toch	dggd	dyxc			
26	1D319	太玄经符号	进	𝌽.	fjpk	dggf	dyxc			
27	1D31A	太玄经符号	从	𝌼.	wwy	dggg	dyxc			
28	1D31B	太玄经符号	坚	𝌻.	jcff	fddd	dyxc			
29	1D31C	太玄经符号	止	𝌺.	hhhg	fddf	dyxc			
30	1D31D	太玄经符号	割	𝌹.	pdhj	fddg	dyxc			
31	1D31E	太玄经符号	穷	𝌸.	pwlb	fdfd	dyxc			
32	1D31F	太玄经符号	瞢	𝌷.	alph	fdff	dyxc			
33	1D320	太玄经符号	晦	𝌶.	jtxu	fdfg	dyxc			
34	1D321	太玄经符号	去	𝌵.	fcu	fdgd	dyxc			
35	1D322	太玄经符号	内	𝌴.	mwi	fdgf	dyxc			
36	1D323	太玄经符号	沈	𝌳.	ipqn	fdgg	dyxc			
37	1D324	太玄经符号	大	𝌲.	dddd	ffdd	dyxc			
38	1D325	太玄经符号	灶	𝌱.	ofg	ffdf	dyxc			
39	1D326	太玄经符号	遇	𝌰.	jmhp	ffdg	dyxc			
40	1D327	太玄经符号	迎	𝌯.	qbpk	fffd	dyxc			
41	1D328	太玄经符号	应	𝌮.	yid	ffff	dyxc			
42	1D329	太玄经符号	法	𝌭.	ifcy	fffg	dyxc			
43	1D32A	太玄经符号	居	𝌬.	ndd	ffgd	dyxc			
44	1D32B	太玄经符号	盛	𝌫.	dnnl	ffgf	dyxc			
45	1D32C	太玄经符号	睟	𝌪.	hywf	ffgg	dyxc			
46	1D32D	太玄经符号	徯	𝌩.	texd	fgdd	dyxc			
47	1D32E	太玄经符号	耎	𝌨.	dmjd	fgdf	dyxc			
48	1D32F	太玄经符号	交	𝌧.	uqu	fgdg	dyxc			
49	1D330	太玄经符号	达	𝌦.	dpi	fgfd	dyxc			
50	1D331	太玄经符号	锐	𝌥.	qukq	fgff	dyxc			
51	1D332	太玄经符号	增	𝌤.	fulj	fgfg	dyxc			
52	1D333	太玄经符号	童	𝌣.	ujff	fggd	dyxc			
53	1D334	太玄经符号	差	𝌢.	udaf	fggf	dyxc			
54	1D335	太玄经符号	羡	𝌡.	uguw	fggg	dyxc			
55	1D336	太玄经符号	视	𝌠.	pymq	gddd	dyxc			
56	1D337	太玄经符号	疑	𝌟.	xtdh	gddf	dyxc			
57	1D338	太玄经符号	饰	𝌞.	qnth	gddg	dyxc			
58	1D339	太玄经符号	积	𝌝.	tkwy	gdfd	dyxc			
59	1D33A	太玄经符号	聚	𝌜.	bcti	gdff	dyxc			
60	1D33B	太玄经符号	翕	𝌛.	wgkn	gdfg	dyxc			
61	1D33C	太玄经符号	守	𝌚.	pfu	gdgd	dyxc			
62	1D33D	太玄经符号	唫	𝌙.	kqg	gdgf	dyxc			
63	1D33E	太玄经符号	减	𝌘.	udgt	gdgg	dyxc			
64	1D33F	太玄经符号	疆	𝌗.	xfgg	gfdd	dyxc			
65	1D340	太玄经符号	敛	𝌖.	wgit	gfdf	dyxc			
66	1D341	太玄经符号	亲	𝌕.	usu	gfdg	dyxc			
67	1D342	太玄经符号	密	𝌔.	pntm	gffd	dyxc			
68	1D343	太玄经符号	众	𝌓.	wwwu	gfff	dyxc			
69	1D344	太玄经符号	装	𝌒.	ufye	gffg	dyxc			
70	1D345	太玄经符号	毅	𝌑.	uemc	gfgd	dyxc			
71	1D346	太玄经符号	断	𝌐.	onrh	gfgf	dyxc			
72	1D347	太玄经符号	更	𝌏.	gjqi	gfgg	dyxc			
73	1D348	太玄经符号	狩	𝌎.	qtpf	ggdd	dyxc			
74	1D349	太玄经符号	干	𝌍.	fggh	ggdf	dyxc			
75	1D34A	太玄经符号	上	𝌌.	hhgg	ggdg	dyxc			
76	1D34B	太玄经符号	戾	𝌋.	yndi	ggfd	dyxc			
77	1D34C	太玄经符号	少	𝌊.	itr	ggff	dyxc			
78	1D34D	太玄经符号	闲	𝌉.	usi	ggfg	dyxc			
79	1D34E	太玄经符号	礥	𝌈.	dahm	gggd	dyxc			
80	1D34F	太玄经符号	周	𝌇.	mfkd	gggf	dyxc			
81	1D350	太玄经符号	中	𝌆.	khk	gggg	dyxc			
82	1D351	太玄经符号	地地	𝌅.	fbfb	ddll	dyxc			
83	1D352	太玄经符号	地人	𝌄.	fbww	dfll	dyxc			
84	1D353	太玄经符号	地天	𝌃.	fbgd	dgll	dyxc			
85	1D354	太玄经符号	人地	𝌂.	wwfb	fdll	dyxc			
86	1D355	太玄经符号	天地	𝌁.	gdfb	gdll	dyxc			
87	1D356	太玄经符号	地	𝌀.	fbn	dlll	dyxc			
88	.	.	.	.	.	.	.			
89	.	.	.	.	.	.	.			
90	.	.	.	.	.	.	.			
91	.	.	.	.	.	.	.			
92	.	.	.	.	.	.	.			
93	.	.	.	.	.	.	.			
94	.	.	.	.	.	.	.			
95	.	.	.	.	.	.	.			
96	.	.	.	.	.	.	.			
97	.	.	.	.	.	.	.			
98	.	.	.	.	.	.	.			
99	.	.	.	.	.	.	.			
100	.	.	.	.	.	.	.			
101	.	.	.	.	.	.	.			
102	.	.	.	.	.	.	.			
103	.	.	.	.	.	.	.			
104	.	.	.	.	.	.	.			
105	.	.	.	.	.	.	.			
106	.	.	.	.	.	.	.			
107	.	.	.	.	.	.	.			
108	.	.	.	.	.	.	.			
109	.	.	.	.	.	.	.			
110	.	.	.	.	.	.	.			
111	.	.	.	.	.	.	.			
112	.	.	.	.	.	.	.			
113	.	.	.	.	.	.	.			
114	.	.	.	.	.	.	.			
115	.	.	.	.	.	.	.			
116	.	.	.	.	.	.	.			
117	.	.	.	.	.	.	.			
118	.	.	.	.	.	.	.			
119	.	.	.	.	.	.	.			
120	.	.	.	.	.	.	.			
